,user,likes,reviews
0,00039133EE7E8B6E3CC0BACB71D3C1C7,1,1
1,000EAD464A61BA5A34E929461A1037E8,1,2
2,0018B8660427252CC1F867749C6BE93B,1,1
3,001D88808C64134EA9D63C7D5E6619CB,1,2
4,0047151140BF69FAEAFC3C1E864F8209,1,1
5,004F7F4495389EEB6DB1156CFF610513,1,1
6,008ED51CD785984AB097BD705198A17A,1,1
7,00A075528D83FB49ADE5770610508814,1,1
8,00AD2961901BB9389A1DFFF257D883D5,1,1
9,00B5F50E6DA05A4FA18E7446C2448DF6,7,9
10,00CE4ACB5358370B5B7B496EE19C33EE,1,1
11,00CEC271D0C8C6117B71EDF824F07789,1,1
12,00DA080E2D0DCD5DDBEDF28DCD2B867C,1,1
13,00DD9985C39A0B17B29998812FD6F957,0,1
14,00DFFAEEE13A538567BCAFBB561253B3,1,1
15,01251F5A7BC67F2FF69DDC24404F7D8D,1,1
16,012BECFD08EDC4EFC8E699A7A0BBE82A,1,1
17,012F51DB29092C712846F74CCB3B000D,1,1
18,0145D724CA75EAD0EC63AE6C428D825E,1,1
19,0157FFBAAD45636FABE060D46C59CF90,4,4
20,01726E4DA19018ECE13961706D031AEB,1,1
21,0174F0101F514E1F3E94FCF0AEDD6EC5,2,2
22,01966299E75FB4CDA77CDFE47C6F72F0,0,1
23,019C5161E49449F9586FF56554655067,1,1
24,019EBAC8C1B3389424D7DE9C86BA9C0F,0,1
25,01CB9E06CD77C4C3CD8FD7A3FBB8FB68,0,1
26,01D418187EF46E043087CB494939AA57,1,1
27,01E7D45A487F433B3DBD570FAD118802,0,3
28,02040F8B02999415C6E07F5218D89258,0,1
29,0223E61F736AE02FB341F8CD253AC13B,2,2
30,023EFC9E2FB901A8EBAC5BEADC57012C,1,1
31,0246D0402E041DC42C5C1CD5579C786D,1,1
32,024A9F2DE4CE5EAC82BF66B490020D4B,0,1
33,025A6F70551DB01E873DA5402E2290C9,1,1
34,02786C31838A91DA93B836AF2BF23E2C,1,1
35,02797AFF75C81BB3AA0E11CB711E8BA7,1,1
36,02798AF7C9171A26CCF1C1576B01CBA3,1,1
37,0279B13E9859736A7EED2369AF4B8B81,1,1
38,02841D7B20572F7A47B9E94CE60B6844,1,1
39,028EA30DB2274F32507AB064F9E1FC63,1,1
40,02B1F88770ED9D28C93FF83F76B9616D,0,1
41,02E57993174CF59379B9192D8DF93CE2,1,1
42,02F6A1320CD97F38E8C66EDD791D6009,1,1
43,03171F2E2C8C366115AF736A62FF8F35,1,1
44,0323C77481052D6E54B75829BD60D16F,1,1
45,034C755BE45A27F23741EFCB55222E6D,1,2
46,0354DDD943F2283E820A05353D36B7CD,1,1
47,035DE3703D7FACBE5B7A09D049B5C722,1,1
48,0363C7006DD8874954E2510BF5340704,2,2
49,036E177F52B332BD6B8EB7072C4D14D2,1,1
50,037BCC416FD48D4A6A2610E74B7D3F12,1,1
51,03946A11F849ECCA7E03CCB0F0FCCDB6,1,1
52,03995C06EC1034FF90F3D6F8D01B7D90,1,1
53,039D505899F15A03764DE78814EB8186,1,1
54,039F6B2860932AF211A33612045D20C2,1,1
55,03A82795974D41BEF37B7EB7FE64A1D6,1,1
56,03AA77A6134ED2CBB833602A7207C08B,1,1
57,03CD27D17DCB2BED6CC42AF587F1F886,1,2
58,03D125CA5B10EB7C72ACBE3717A438BE,1,1
59,03D722262ED1961A4DBADA4B9E2B0251,1,1
60,03E9BCD8301E9F0B51C0B14426365713,1,1
61,03FBCE2041E4D2440414D1733D35967B,1,1
62,0426352222B11AB2F7F942F79574ABDB,1,1
63,042D864F726530B41AA96DF26857136A,3,4
64,04492DFA0AABD41764FB30780080D05D,1,1
65,045C60AF2BEAFA068DBE70368EDFDEE4,1,1
66,045DA1E159A3A88C0542CF262E57BEE9,1,1
67,046415BAF75AE8D4A6F100F1902D58FB,2,2
68,0469F9D38CDBA29CF5E50C55604B3D87,0,1
69,04727F4B5AC6FF1101B5C06286235BED,1,1
70,0481AD76345E6E2DF1005119E44238C1,1,1
71,04909D181589F6519DBD013F4DDA6837,7,8
72,0495BC287B36DDD86846C6331E4D5531,1,1
73,04B8D2B2BD511CEA5E0C1B0619CBF4AF,1,1
74,04C9EB2389185E191B71F568BAFF1672,0,2
75,04D167F0FC90FD9EE6FF93BE9A316FCE,0,1
76,04D92FD40FA04F77BD89108C579528D0,1,1
77,04F69E31B571365659550CAD624CB423,1,1
78,04FF9D002F68E6ADDB2D305E7F16EE53,1,2
79,0505AC7B30052647559F2FAEE818A6CD,1,1
80,05429986E86E4D6ABB36BFF603325FE3,1,1
81,0545EC69C3AAA92CBF20B417941405B6,1,1
82,055387741C10D45C30F1E764A426E52D,1,1
83,05569AB17F7A1C67274F8C93AF483698,1,1
84,055CCF728CC60164A360235D1C66FDFC,1,1
85,0568EFC3086322E7DB75B2EDEA9B558D,1,1
86,0591ED8AF7B19B4549FA5F250C9B2EE7,2,2
87,059452081C309FC71F84312CC6A9F408,3,3
88,059B6C3F417FCA53F5A134EBA9742992,1,1
89,05A279D2A00BBDDB8D31CAD5D5155AB4,0,1
90,05BA9B0E59423EE4282F26260CC474C1,0,3
91,05D9B75A0940C11DA6C20ACE3C42949A,0,1
92,05DAEC435B9136B0B73168B41032F6AC,1,1
93,05F50709021B588F7CEFCAA49A2209E1,1,1
94,060149ADEC6382C8800B4BC8B0450302,0,1
95,0607CB5BEA8C945ECAB60D7182398454,1,1
96,0617928856A253D47A3D19267940BCAB,1,1
97,062B7483D4EDA06264D2197EF3DE09BA,1,1
98,062C71E736FF5055253009B9CA710386,2,2
99,062E766C0F693ADB8C5519AB38B0DEA5,1,1
100,063305C397D9E3A8D458031FB87EF899,1,1
101,06346798E4D01BC0860BBAD4BE2EA7C2,1,1
102,06452918F22522E2F59178A38616503D,1,1
103,0656132C455BDCD11B7D88321AC39A18,1,1
104,066BE577ADE5DBBD7DB24385E69BCA4C,1,1
105,069DFA30A4EAA93661877598D4C8EED4,1,1
106,06A25A279D7168CA9E3DDE1ED7696ADE,1,1
107,06B254441382717B2ED05AFD2A0A3204,1,1
108,06BD90792FA1C75D6F7E76BAA2795BD5,1,1
109,06DC1AD74B51A38A486390A4B482508C,1,1
110,06EA2D8A42B55350772949FB1161100F,1,1
111,06EE9FE90C22BEA8BF1F3EA74ED58936,1,1
112,06F411CEA1598EA9747D02EFEB2557E3,1,1
113,06FA42A1EEA5B301EA223493031BBF0D,0,1
114,0712A117DD19A198D77C6F5F2BFDA3B3,1,1
115,0713A2F0F1BA4CED43EACF6EDC6A65BC,1,2
116,073C06A59F6121116919647333BE7D93,2,2
117,0748E50B9D4C95CBF71535590CB0801C,1,1
118,075E2F32C24122D00CE1BB5904CE5896,1,1
119,077F43195755BC215ECADEBA39A15A13,1,1
120,078786B9D27A0F550753C9669D2BAC18,0,1
121,078FFEF19EB18BD4D8EA8E8A5BCC2BE5,1,1
122,07B0FA7EB3F511B85D97A961EEC4F364,1,1
123,07DA39578B74B87F5C2AF17F16FD2DF6,1,1
124,08144AEDB389D98C89F5DE2F504CA538,1,1
125,081574DDC102F5702B8375F858E1D8F4,1,1
126,0817A602BC9551F61D190D07AE12645D,1,1
127,0823BFAF8985DF3E288D24CD28438300,1,1
128,082D9106FE843ABC7B744E7BEB800929,1,1
129,0831A4B50DC87DE9EE50CF684227E305,0,1
130,08331771A8083B027A4FEA61DF034CD8,1,1
131,0844B125F661DE663C96C14F6E993555,1,1
132,0854C1545DD13ADDFEA0D40D991305A4,1,1
133,085590213635D7E22D36DC5193F87DAE,2,2
134,0874C03A615B28CCA631275D03E653D9,1,1
135,087B7A0CC64A1C47E4B9E9F707965821,1,1
136,088DFFE4F1FC8A4EA9A39B9BE9794BE8,3,4
